,Level,XP Required
1,1,0
2,2,50
3,3,100
4,4,300
5,5,600
6,6,1000
7,7,1750
8,8,2600
9,9,3550
10,10,4600
11,11,5750
12,12,7000
13,13,8350
14,14,9800
15,15,11350
16,16,13000
17,17,14750
18,18,16600
19,19,18550
20,20,20600
21,21,22750
22,22,25050
23,23,27500
24,24,30100
25,25,32850
26,26,35750
27,27,38800
28,28,42000
29,29,45350
30,30,48850
31,31,52500
32,32,56300
33,33,60250
34,34,64350
35,35,68600
36,36,73000
37,37,77550
38,38,82250
39,39,87100
40,40,92100
41,41,97250
42,42,102550
43,43,108050
44,44,113750
45,45,119650
46,46,125750
47,47,132050
48,48,138550
49,49,145250
50,50,152150
